,in-canon,in-near1,in-near2,in-far1
ground_lightsource,,,,
ground_container,,,,
support,-0.3546770403316422,,1.3633213355288611,
ground_verticality,,,,
shortest_distance,-0.602573893987224,,-0.5812810626181276,
contact_proportion,6.547134492818159,,1.292694208732787,
above_proportion,-0.9059561524155018,,0.02836752873462802,
below_proportion,-0.7484621051199398,,-0.7430465462765706,
bbox_overlap_proportion,4.484547264095121,,1.9969825078699368,
horizontal_distance,-0.5816543166231911,,-0.8065824237286187,
f_covers_g,-0.008334287057094067,,0.08210371694576168,
g_covers_f,1.5240177774945138,,0.9122692863863904,
location_control,1.782450875037032,,1.2793325592371283,
