Task: sv,Number of Native English users: 32
Preposition,Number of Shared Annotations,Average Expected agreement,Average observed Agreement,Average cohens_kappa
in,1320,0.8960419672919677,0.9848484848484849,0.9537828837828836
inside,1320,0.9000348725348726,0.953030303030303,0.8408238085443966
against,1320,0.7418368205868208,0.878030303030303,0.6791543057117465
on,1320,0.6160407647907649,0.8787878787878788,0.7351580912781733
on top of,1320,0.6716901154401154,0.8477272727272728,0.6481067666894292
under,1320,0.8013083213083214,0.9090909090909091,0.7722473931297462
below,1320,0.7864790764790767,0.8583333333333333,0.5997720906544436
over,1320,0.8402164502164503,0.8795454545454545,0.6438028638028639
above,1320,0.7625324675324677,0.8446969696969697,0.588668296943698
Total Number of Shared Annotations,Average Expected Agreements,Average observed agreements,Average Cohens Kappa
11880,0.7795756506867619,0.8926767676767676,0.7179462778374868
