,below-canon,below-near1,below-near2,below-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.025931776972955702,0.0058809273358388005,0.0040069638681439245,0.0024805879467539277
ground_verticality,0.0,0.0,0.0,0.0
shortest_distance,0.021017994037177263,0.001975770633142727,0.009628516593210332,0.022050039984482857
contact_proportion,0.0019729997201164157,0.006755519413060946,0.010571168194372975,0.060755748096280544
above_proportion,0.10831372582592266,0.002808793956930359,0.038798332250613465,0.03846595796764124
below_proportion,0.16573415945512876,0.0038518361134654753,0.2643830313112884,0.01906721760905993
bbox_overlap_proportion,0.05604078909012061,0.007494113771564633,0.026187271726750467,0.07652757528227432
horizontal_distance,0.02425699210848072,9.198826169776371e-05,0.01357381667685461,0.1173537148213239
f_covers_g,0.09834787694629361,0.004167292189060543,0.024850226618590446,0.001135981706894446
g_covers_f,0.12601129635178585,0.0009051670705731898,0.02273020557568125,0.07433963155046526
location_control,0.0052814857946620435,0.002767060279880247,0.020076359847925055,0.01873922303929199
