Task: comp,Number of users: 32
Preposition,Number of Shared Annotations,Average Expected agreement,Average observed Agreement,Average cohens_kappa
in,310,0.7674193548387099,0.832258064516129,0.8064516129032258
inside,356,0.8051498127340824,0.8651685393258427,0.8216902784562774
against,260,0.43946886446886435,0.6615384615384615,0.6077297986526092
on,310,0.48639016897081416,0.8193548387096774,0.7863082437275984
on top of,286,0.45827505827505804,0.7902097902097902,0.7609198493813878
under,242,0.4850255804801257,0.71900826446281,0.6562477926114287
below,288,0.4303819444444441,0.7361111111111112,0.6932202774875188
over,278,0.5410071942446042,0.7194244604316546,0.652987686773658
above,320,0.5876190476190478,0.70625,0.6217902131782945
Total Number of Shared Annotations,Average Expected Agreements,Average observed agreements,Average Cohens Kappa
2650,0.5661913746630729,0.7660377358490567,0.7173105547649995
