,,,Average Values
Preposition,Number of Selections,Number of Distinct Configurations,ground_lightsource,ground_container,support,ground_verticality,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,location_control
on top of,89,44,0.2526002895972702,0.015151402897314148,1.5028213163988675,-0.013899420283681917,-0.5601209833915657,0.9618394390870033,0.8474722221139335,-0.7204715730537457,0.23320417874152097,-0.2639590029619848,-0.21865662495929097,0.9754585020966208,1.071456247505661
over,59,33,0.019475943932278365,0.36481384271666856,0.2643963228599979,-0.1299949171616217,-0.20565846316189895,0.13488401476618586,0.7794710771757876,-0.7458302789807293,0.16007824055381883,0.26846434833758515,0.06531825008944218,0.41431393236056974,0.35204974450297283
above,69,42,-0.0009796084330812422,0.06097878703085518,0.7741561943615495,-0.21000645561096035,-0.3260612971863577,0.39322282680739734,1.0208306055276197,-0.7484621051199406,-0.047998131370258816,0.16602605020275815,-0.1338057702148077,0.8240147592890872,0.6790765692727428
in,30,19,-0.12166736738870311,1.1431333312358694,1.0035763827736655,-0.3832424471159504,-0.5548647746779463,1.4427442855613921,-0.1362332973369945,-0.7323399227711974,2.1740872541378233,-0.3851007469624544,-0.02393032831134844,0.9571955845460411,1.1850520932222834
below,98,51,0.048280701344723606,0.005263367907341702,-0.5903283620342519,0.2876050914161286,-0.16996131153790334,-0.3855043163527294,-0.9059561524155,0.6765252581934996,0.6521138328853998,-0.15507960717292762,0.6108079453017057,-0.15848838589727499,-0.5038344381702308
on,103,51,0.5251252825482218,0.020102999366487843,1.379194609985764,0.16800120546424877,-0.5825317356282351,1.5413117072183464,0.5211082769076048,-0.7351860980029492,0.7793616738649449,0.015748390640978445,-0.4214881042816896,0.9478390702424758,1.0492744175664774
against,76,43,0.5357633195537631,0.3288773883997975,0.07977453010208864,0.12791769887081333,-0.5355515196876021,0.4736671043659771,-0.6227533307880169,-0.6178341480161764,1.008200497455464,-0.22640096532530515,-0.5652755417194348,-0.0356340504633701,0.7637457723662481
inside,25,16,-0.12166736738870312,1.2187854726240617,0.8818044291553943,-0.26370961297750706,-0.4854637665837223,1.4251516694102344,-0.22966732503745135,-0.638731665990844,2.240508888289227,-0.3261388096102821,0.09340180038456365,0.8130336561300417,1.1699429967301835
under,90,53,0.4334963238071573,0.03356859087571309,-0.5476502168300554,0.4468466788454615,-0.2242326142050696,-0.32714462970671365,-0.9021283918969414,0.652264025834963,0.5799175308473714,-0.15053703976378405,0.7677852362431924,-0.18146008650264603,-0.4261921026435715
all,639,152,0.24322895546303275,0.1916211867336756,0.46306552418389896,0.08441339849611318,-0.39249641914605465,0.51195106166023,0.028782616949954494,-0.30576628601447764,0.6590304858861128,-0.09426318326639976,0.030302829638678492,0.43852116247737116,0.4791452918294195
